"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4003:c03::bc","TCP","86","37662  >  5228 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=2851738234 TSecr=3911564473"
"2","0.082758179","2404:6800:4003:c03::bc","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","74","5228  >  37662 [RST] Seq=1 Win=0 Len=0"
"3","0.662578272","192.168.42.252","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"4","1.662930839","192.168.42.252","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"5","2.144416154","2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce","2404:6800:4003:c00::bc","TCP","86","43468  >  5228 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=338256809 TSecr=2201129656"
"6","2.286932470","fe80::f4fc:11ff:fe5b:4731","ff02::1:ff17:d3ce","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce from f6:fc:11:5b:47:31"
"7","2.663126900","192.168.42.252","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"8","2.663313638","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"9","2.663425532","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"10","3.318136294","fe80::f4fc:11ff:fe5b:4731","ff02::1:ff17:d3ce","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce from f6:fc:11:5b:47:31"
"11","3.664553557","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"12","3.664674188","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"13","4.342142642","fe80::f4fc:11ff:fe5b:4731","ff02::1:ff17:d3ce","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:dc11:f4d4:5c17:d3ce from f6:fc:11:5b:47:31"
"14","5.188505732","192.168.42.252","192.168.42.129","DNS","89","Standard query 0x427c AAAA connectivity-check.ubuntu.com"
"15","5.189614827","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0x427c AAAA connectivity-check.ubuntu.com"
"16","5.665814701","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"17","5.665916219","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"18","6.789034644","192.168.42.252","192.168.42.129","DNS","89","Standard query 0x6f3d AAAA connectivity-check.ubuntu.com"
"19","6.790184243","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0x6f3d AAAA connectivity-check.ubuntu.com"
"20","7.603187170","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4003:c03::bc","TCP","86","37684  >  5228 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=2851745837 TSecr=3569862225"
